PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
201939,2019-20,00,1610612744,GSW,32.0,5,5,139.0,33,82,0.402,12,49,0.245,26,26,1.0,4,22,26,33,5,2,16,11,104,Stephen Curry
201939,2020-21,00,1610612744,GSW,33.0,63,63,2152.0,658,1365,0.482,337,801,0.421,362,395,0.916,29,316,345,363,77,8,213,119,2015,Stephen Curry
201939,2021-22,00,1610612744,GSW,34.0,64,64,2211.0,535,1224,0.437,285,750,0.38,275,298,0.923,34,301,335,404,85,23,206,130,1630,Stephen Curry
201939,2022-23,00,1610612744,GSW,35.0,56,56,1941.0,559,1133,0.493,273,639,0.427,257,281,0.915,39,302,341,352,52,20,179,117,1648,Stephen Curry
201939,2023-24,00,1610612744,GSW,36.0,74,74,2422.0,650,1445,0.45,357,876,0.408,299,324,0.923,37,293,330,379,54,28,210,117,1956,Stephen Curry
201939,2024-25,00,1610612744,GSW,37.0,70,70,2252.0,564,1258,0.448,311,784,0.397,279,299,0.933,40,270,310,421,80,30,200,95,1718,Stephen Curry
1630658,2023-24,00,1610612747,LAL,24.0,16,0,59.0,9,16,0.563,0,0,0.0,6,6,1.0,6,6,12,3,2,0,3,11,24,Colin Castleton
1630658,2024-25,00,1610612763,MEM,25.0,10,0,46.0,2,10,0.2,0,4,0.0,10,11,0.909,3,6,9,0,1,1,1,6,14,Colin Castleton
1630658,2024-25,00,1610612755,PHI,25.0,5,0,98.0,12,24,0.5,0,4,0.0,6,9,0.667,16,21,37,10,1,1,1,13,30,Colin Castleton
1630658,2024-25,00,1610612761,TOR,25.0,11,4,288.0,32,64,0.5,2,8,0.25,13,18,0.722,34,42,76,18,6,8,21,32,79,Colin Castleton
1630658,2024-25,00,0,TOT,25.0,26,4,432.0,46,98,0.469,2,16,0.125,29,38,0.763,53,69,122,28,8,10,23,51,123,Colin Castleton
1641752,2024-25,00,1610612765,DET,22.0,8,0,42.0,6,10,0.6,2,5,0.4,1,2,0.5,1,6,7,7,2,1,1,8,15,Bobi Klintman
1630162,2020-21,00,1610612750,MIN,19.0,72,55,2314.0,505,1211,0.417,171,520,0.329,211,272,0.776,59,277,336,211,82,36,160,129,1392,Anthony Edwards
1630162,2021-22,00,1610612750,MIN,20.0,72,72,2466.0,549,1245,0.441,215,602,0.357,220,280,0.786,62,281,343,275,105,46,190,164,1533,Anthony Edwards
1630162,2022-23,00,1610612750,MIN,21.0,79,79,2841.0,707,1541,0.459,213,578,0.369,319,422,0.756,47,411,458,350,125,58,259,186,1946,Anthony Edwards
